ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"QN679",61301.00255904009
"QN505",32120.204146560034
"QN687",67880.16359423996
"QN499",148863.81323952027
"QN507",116117.51228064003
"MN130",23321.89142063999
"MN140",26320.987357920007
"MN128",26111.003261760008
"MN142",25252.207560000006
"MN122",18814.56108048002
"MN143",2383220.0154859205
"BK1028",364173.2045553606
"BK298",46855.20693456002
"BK300",42005.29663440005
"BK406",37893.40808400004
"BK408",38338.18138800001
"BK386",50781.568114080015
"BK398",47696.676219359935
"BK306",46480.99348944003
"BK400",44816.75165664
"BK302",50554.21114944017
"BK304",117497.65661712014
"BK382",108995.70458879998
"BK402",47552.630055839996
"SI170.09",421562.9891303998
"SI170.05",571875.6485044803
"BX328",50018.48576928001
"BX340",25769.003945760025
"BX342",32572.850983199965
"BX344",37206.76171536002
"BX324",100373.18764032001
"BX326",91361.36050271984
"BX318",57003.07567103999
"BX348",132254.49161952
"QN31",45088.21433951995
"QN51",32058.679108320026
"QN55",23609.937296159987
"QN53",51936.51548160008
"QN33",109388.17348128003
"SI207",362863.43427167996
"SI273.02",427660.84274112
"SI176",1762815.4885555198
"QN1283",1263551.6948270402
"QN1571.01",392845.40527535975
"QN1059",203815.07882064
"QN1139",117343.18208736011
"QN1017",287151.73021152
"QN1141",152947.15733088038
"QN997.01",588464.9727451212
"QN1085",150371.79215903996
"QN1291.03",154461.56978592
"QN257",21993.238594079987
"QN249",25844.20895664001
"QN251",43830.53943551996
"QN253.02",7710.116192640007
"SI138",457777.94121648016
"BK662",33860.115505440015
"QN998.02",130974.6361147203
"QN838",122145.75828864033
"QN846.01",88462.01920463999
"QN818",103680.18747792003
"QN840",125023.10479199985
"QN739",62620.50443616002
"QN707",55815.960625920045
"QN709",64964.28555503997
"QN711",97667.92079280011
"QN723",215528.64249024005
"QN737",75605.28362784002
"BK285.01",16311.683505599995
"BK259.01",18223.720971840004
"BK259.02",31094.090069760015
"BK257",28960.896916800004
"BK253",45266.704305120016
"BK283",30625.998102719997
"BK285.02",72167.80147056
"BK491",52912.78707744
"BK507",41842.902120479965
"BK509",39254.13568512002
"BK531",31100.80231440002
"BK255",73473.80918111997
"BK205",38169.72495072005
"BK203",30295.541989440022
"BK199",43070.151278880025
"BK201",56825.25925248001
"BK163",52029.74368224
"BK159",75423.35624976004
"BK207",25773.672323519968
"BK388",37879.77456288001
"BK396",50420.663029440024
"BK410",37438.39221983997
"QN645",46622.90288304
"QN731",46306.66093488003
"BK195",40657.412878559975
"BK197",51512.45955552001
"BK181",57228.76038096
"BK183",36564.73203168004
"BK187",24239.07668304
"BK191",55029.93123023998
"BK193",101565.9697708801
"BK231",40997.8792944
